0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
251.0,36.0,90.0,256.0,40.0,506.0,413.0,422.0,166.0,239.0,811.0,340.0,154.0,336.0,776.0,553.0,164.0,573.0,323.0,398.0,151.0,479.0,559.0,193.0,298.0,327.0,355.0,1029.0,669.0,319.0,304.0,975.0,164.0,616.0,610.0,351.0,626.0,422.0,509.0,367.0,307.0,569.0,248.0,527.0,531.0,837.0,368.0,408.0,766.0,57.0,353.0,799.0,455.0,1386.0,697.0,721.0,401.0,1031.0,353.0,360.0,461.0,847.0,634.0,467.0,221.0,414.0,281.0,1540.0,109.0,553.0,218.0,237.0,732.0,306.0,591.0,170.0,285.0,354.0,978.0,321.0,1096.0,371.0,443.0,420.0,642.0,510.0,202.0,276.0,553.0,226.0,309.0,42.0,290.0,76.0,56.0,93.0,263.0,148.0,269.0,369.0,1022.0,281.0,142.0,171.0,84.0,69.0,123.0,237.0,118.0,252.0,350.0,99.0,115.0,40.0,115.0,108.0,101.0,64.0,86.0,58.0,61.0,78.0,56.0,49.0,55.0,84.0,53.0,80.0,59.0,105.0,46.0
238.0,157.0,195.0,270.0,527.0,420.0,307.0,453.0,927.0,446.0,486.0,1062.0,463.0,414.0,408.0,627.0,556.0,723.0,830.0,237.0,542.0,250.0,637.0,264.0,926.0,226.0,267.0,455.0,1314.0,741.0,718.0,970.0,464.0,763.0,424.0,500.0,320.0,739.0,1209.0,477.0,600.0,1217.0,105.0,1137.0,270.0,900.0,1213.0,190.0,829.0,91.0,949.0,449.0,721.0,127.0,355.0,974.0,708.0,307.0,782.0,990.0,372.0,1218.0,231.0,1112.0,769.0,430.0,696.0,905.0,321.0,948.0,342.0,696.0,331.0,235.0,847.0,189.0,1076.0,286.0,981.0,471.0,542.0,316.0,806.0,391.0,280.0,277.0,257.0,607.0,157.0,102.0,417.0,102.0,140.0,72.0,272.0,54.0,174.0,72.0,94.0,64.0,102.0,126.0,42.0,51.0,63.0,43.0,107.0,67.0,84.0,80.0,71.0,95.0,104.0,46.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,74.0,208.0,171.0,283.0,121.0,386.0,367.0,549.0,210.0,350.0,721.0,77.0,1209.0,73.0,538.0,406.0,663.0,159.0,249.0,767.0,335.0,376.0,230.0,723.0,154.0,597.0,2117.0,137.0,646.0,533.0,302.0,1518.0,261.0,663.0,253.0,540.0,575.0,405.0,324.0,599.0,409.0,517.0,234.0,474.0,207.0,424.0,632.0,267.0,953.0,229.0,445.0,1015.0,338.0,620.0,395.0,515.0,265.0,642.0,608.0,627.0,269.0,387.0,233.0,1064.0,599.0,579.0,326.0,619.0,1116.0,189.0,309.0,1222.0,869.0,427.0,388.0,979.0,510.0,330.0,299.0,644.0,366.0,356.0,274.0,568.0,169.0,615.0,287.0,74.0,120.0,78.0,141.0,78.0,204.0,77.0,346.0,85.0,53.0,149.0,306.0,63.0,48.0,67.0,122.0,43.0,76.0,67.0,119.0,47.0,99.0,84.0,116.0,62.0,84.0,55.0,57.0,46.0,69.0,77.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.0,107.0,412.0,152.0,237.0,113.0,171.0,549.0,669.0,184.0,438.0,503.0,281.0,419.0,341.0,840.0,120.0,1344.0,645.0,291.0,304.0,438.0,284.0,1267.0,178.0,257.0,248.0,474.0,382.0,723.0,190.0,363.0,158.0,435.0,385.0,179.0,743.0,733.0,137.0,602.0,302.0,1449.0,1073.0,193.0,184.0,495.0,666.0,668.0,1001.0,339.0,231.0,775.0,767.0,859.0,374.0,498.0,503.0,615.0,388.0,719.0,249.0,670.0,390.0,351.0,655.0,931.0,517.0,675.0,105.0,774.0,211.0,682.0,1160.0,335.0,747.0,374.0,383.0,502.0,731.0,271.0,703.0,574.0,413.0,257.0,1401.0,354.0,289.0,555.0,348.0,356.0,98.0,554.0,126.0,110.0,121.0,97.0,80.0,86.0,172.0,77.0,181.0,330.0,173.0,48.0,47.0,61.0,49.0,102.0,54.0,110.0,69.0,117.0,60.0,99.0,53.0,84.0,45.0,65.0,66.0,46.0,68.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,266.0,184.0,235.0,872.0,117.0,1172.0,403.0,817.0,234.0,1293.0,169.0,281.0,442.0,201.0,439.0,322.0,851.0,336.0,753.0,612.0,392.0,468.0,493.0,598.0,391.0,769.0,1052.0,93.0,415.0,635.0,754.0,1066.0,373.0,728.0,148.0,1063.0,221.0,509.0,521.0,742.0,609.0,901.0,210.0,485.0,381.0,848.0,314.0,349.0,1271.0,374.0,727.0,309.0,338.0,398.0,764.0,576.0,435.0,321.0,600.0,324.0,193.0,1478.0,481.0,476.0,653.0,577.0,697.0,123.0,813.0,525.0,501.0,485.0,144.0,801.0,150.0,484.0,262.0,376.0,193.0,130.0,232.0,101.0,97.0,175.0,58.0,85.0,113.0,82.0,47.0,50.0,86.0,146.0,58.0,42.0,121.0,66.0,90.0,50.0,114.0,65.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258.0,247.0,430.0,542.0,427.0,432.0,269.0,63.0,565.0,328.0,467.0,744.0,125.0,525.0,167.0,123.0,310.0,836.0,466.0,471.0,531.0,513.0,436.0,589.0,680.0,304.0,359.0,186.0,311.0,894.0,502.0,326.0,460.0,538.0,522.0,721.0,526.0,570.0,348.0,756.0,544.0,1092.0,525.0,1029.0,363.0,630.0,173.0,221.0,181.0,812.0,61.0,356.0,533.0,246.0,787.0,448.0,764.0,630.0,168.0,646.0,582.0,698.0,1045.0,1046.0,352.0,229.0,1191.0,202.0,406.0,626.0,915.0,398.0,750.0,315.0,378.0,645.0,1285.0,939.0,1145.0,146.0,535.0,275.0,747.0,385.0,266.0,184.0,324.0,319.0,429.0,486.0,128.0,130.0,62.0,135.0,92.0,64.0,104.0,66.0,255.0,445.0,47.0,111.0,55.0,101.0,110.0,45.0,86.0,54.0,66.0,55.0,120.0,42.0,105.0,85.0,126.0,158.0,75.0,46.0,73.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.0,31.0,473.0,287.0,146.0,923.0,278.0,223.0,568.0,186.0,584.0,647.0,225.0,261.0,218.0,814.0,392.0,216.0,754.0,293.0,306.0,944.0,375.0,561.0,410.0,654.0,376.0,718.0,313.0,475.0,210.0,361.0,1247.0,312.0,739.0,374.0,732.0,261.0,813.0,801.0,381.0,624.0,1264.0,480.0,790.0,422.0,951.0,385.0,941.0,103.0,581.0,597.0,682.0,402.0,689.0,466.0,670.0,832.0,60.0,398.0,795.0,388.0,369.0,1050.0,529.0,348.0,1636.0,182.0,858.0,1144.0,665.0,527.0,245.0,400.0,879.0,468.0,383.0,541.0,153.0,704.0,182.0,277.0,131.0,71.0,79.0,56.0,120.0,393.0,99.0,58.0,102.0,147.0,438.0,33.0,163.0,36.0,72.0,58.0,47.0,80.0,100.0,164.0,37.0,77.0,79.0,102.0,133.0,109.0,37.0,91.0,43.0,48.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321.0,258.0,99.0,114.0,170.0,93.0,598.0,291.0,176.0,363.0,214.0,453.0,195.0,183.0,319.0,1105.0,560.0,1029.0,97.0,366.0,185.0,339.0,921.0,283.0,408.0,234.0,1066.0,462.0,355.0,800.0,1065.0,218.0,761.0,292.0,627.0,840.0,848.0,378.0,626.0,283.0,1184.0,32.0,322.0,1008.0,351.0,390.0,1135.0,516.0,1010.0,219.0,688.0,592.0,627.0,1523.0,557.0,399.0,823.0,542.0,484.0,195.0,1047.0,223.0,600.0,176.0,873.0,218.0,239.0,493.0,481.0,389.0,635.0,591.0,549.0,269.0,158.0,112.0,752.0,159.0,89.0,110.0,81.0,57.0,164.0,118.0,183.0,325.0,64.0,216.0,112.0,131.0,76.0,96.0,59.0,149.0,53.0,123.0,75.0,55.0,86.0,115.0,140.0,47.0,25.0,373.0,92.0,125.0,76.0,84.0,60.0,54.0,70.0,81.0,73.0,62.0,62.0,94.0,62.0,83.0,40.0,129.0,65.0,127.0,71.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555.0,84.0,302.0,539.0,316.0,321.0,497.0,209.0,356.0,720.0,116.0,416.0,252.0,586.0,61.0,287.0,295.0,273.0,897.0,674.0,32.0,804.0,60.0,1485.0,213.0,459.0,458.0,657.0,609.0,349.0,350.0,653.0,491.0,268.0,348.0,501.0,737.0,825.0,159.0,253.0,489.0,366.0,67.0,736.0,389.0,178.0,341.0,449.0,204.0,269.0,453.0,542.0,381.0,475.0,721.0,355.0,1190.0,466.0,476.0,904.0,267.0,366.0,552.0,935.0,988.0,536.0,1198.0,581.0,184.0,476.0,554.0,352.0,501.0,329.0,331.0,305.0,197.0,155.0,445.0,246.0,264.0,193.0,138.0,119.0,109.0,76.0,52.0,135.0,65.0,69.0,247.0,28.0,252.0,47.0,94.0,47.0,133.0,57.0,93.0,52.0,77.0,71.0,35.0,88.0,51.0,82.0,71.0,73.0,70.0,102.0,34.0,138.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.0,297.0,370.0,495.0,430.0,665.0,732.0,139.0,254.0,1349.0,226.0,724.0,978.0,268.0,990.0,492.0,415.0,317.0,846.0,396.0,318.0,667.0,476.0,585.0,865.0,288.0,749.0,278.0,896.0,520.0,426.0,221.0,364.0,304.0,645.0,839.0,899.0,161.0,513.0,1072.0,764.0,1035.0,1079.0,432.0,1157.0,668.0,1088.0,823.0,538.0,311.0,442.0,1331.0,284.0,806.0,1222.0,565.0,797.0,911.0,822.0,946.0,302.0,713.0,308.0,763.0,427.0,1075.0,101.0,1135.0,312.0,533.0,100.0,744.0,636.0,122.0,1051.0,1264.0,404.0,239.0,352.0,544.0,429.0,691.0,516.0,692.0,443.0,953.0,207.0,144.0,1003.0,364.0,259.0,175.0,201.0,73.0,65.0,200.0,94.0,610.0,90.0,370.0,191.0,281.0,450.0,124.0,114.0,69.0,80.0,198.0,89.0,71.0,111.0,59.0,157.0,89.0,151.0,61.0,70.0,69.0,118.0,44.0,48.0,198.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
