0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
204.0,350.0,156.0,226.0,439.0,236.0,281.0,194.0,559.0,157.0,582.0,240.0,345.0,325.0,575.0,329.0,157.0,364.0,852.0,237.0,365.0,464.0,414.0,426.0,458.0,1291.0,125.0,390.0,175.0,754.0,591.0,435.0,645.0,465.0,356.0,661.0,925.0,152.0,379.0,1028.0,685.0,344.0,526.0,479.0,411.0,549.0,585.0,330.0,526.0,1089.0,150.0,846.0,585.0,328.0,465.0,431.0,809.0,390.0,282.0,246.0,338.0,429.0,483.0,290.0,859.0,311.0,631.0,276.0,715.0,455.0,659.0,492.0,286.0,676.0,284.0,658.0,1078.0,348.0,217.0,293.0,465.0,203.0,380.0,271.0,301.0,209.0,573.0,291.0,387.0,202.0,154.0,411.0,89.0,207.0,493.0,327.0,67.0,133.0,144.0,65.0,73.0,85.0,56.0,647.0,117.0,173.0,47.0,73.0,97.0,65.0,61.0,56.0,86.0,132.0,120.0,65.0,129.0,53.0,106.0,79.0,87.0,62.0,81.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609.0,267.0,106.0,273.0,264.0,189.0,340.0,73.0,372.0,38.0,540.0,242.0,558.0,502.0,280.0,376.0,163.0,260.0,151.0,307.0,127.0,531.0,95.0,402.0,491.0,555.0,453.0,453.0,440.0,601.0,173.0,293.0,571.0,372.0,150.0,302.0,968.0,362.0,218.0,474.0,381.0,373.0,260.0,514.0,172.0,257.0,179.0,304.0,754.0,177.0,207.0,585.0,167.0,256.0,493.0,937.0,471.0,248.0,210.0,388.0,390.0,866.0,119.0,624.0,353.0,395.0,505.0,413.0,330.0,76.0,461.0,730.0,453.0,469.0,650.0,206.0,669.0,754.0,442.0,625.0,468.0,454.0,316.0,296.0,219.0,446.0,234.0,331.0,111.0,162.0,1461.0,140.0,82.0,125.0,71.0,79.0,421.0,161.0,212.0,198.0,103.0,106.0,52.0,332.0,61.0,55.0,124.0,65.0,104.0,48.0,107.0,51.0,84.0,78.0,55.0,64.0,58.0,95.0,66.0,139.0,61.0,119.0,76.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258.0,86.0,61.0,246.0,285.0,211.0,207.0,328.0,217.0,199.0,398.0,365.0,443.0,607.0,479.0,411.0,602.0,385.0,212.0,167.0,1147.0,122.0,448.0,368.0,362.0,662.0,718.0,299.0,323.0,366.0,192.0,350.0,241.0,389.0,632.0,135.0,655.0,481.0,531.0,504.0,272.0,434.0,636.0,559.0,413.0,484.0,691.0,371.0,674.0,226.0,726.0,400.0,364.0,472.0,488.0,1127.0,274.0,912.0,698.0,702.0,636.0,413.0,214.0,564.0,615.0,912.0,581.0,301.0,542.0,245.0,504.0,887.0,413.0,486.0,382.0,637.0,1479.0,234.0,290.0,349.0,408.0,317.0,871.0,330.0,160.0,318.0,148.0,118.0,127.0,291.0,185.0,113.0,77.0,131.0,118.0,110.0,45.0,169.0,134.0,78.0,64.0,112.0,72.0,121.0,58.0,200.0,57.0,82.0,48.0,35.0,355.0,46.0,91.0,48.0,86.0,57.0,82.0,79.0,80.0,98.0,80.0,52.0,42.0,95.0,63.0,62.0,67.0,70.0,59.0,80.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378.0,512.0,71.0,315.0,343.0,423.0,1226.0,614.0,211.0,300.0,381.0,231.0,231.0,621.0,145.0,730.0,489.0,287.0,212.0,300.0,342.0,846.0,712.0,236.0,213.0,755.0,452.0,231.0,224.0,155.0,862.0,152.0,222.0,505.0,810.0,398.0,251.0,359.0,163.0,667.0,430.0,229.0,265.0,830.0,619.0,390.0,796.0,316.0,839.0,307.0,499.0,743.0,704.0,744.0,579.0,954.0,812.0,1199.0,1522.0,245.0,816.0,495.0,775.0,322.0,542.0,720.0,523.0,1237.0,678.0,679.0,640.0,604.0,350.0,739.0,1127.0,997.0,385.0,1169.0,519.0,525.0,515.0,814.0,1582.0,249.0,326.0,410.0,944.0,272.0,352.0,367.0,290.0,600.0,158.0,97.0,501.0,107.0,88.0,150.0,176.0,56.0,271.0,567.0,38.0,141.0,59.0,314.0,71.0,432.0,104.0,112.0,96.0,73.0,94.0,63.0,77.0,69.0,102.0,93.0,92.0,36.0,221.0,67.0,90.0,50.0,61.0,70.0,64.0,81.0,77.0,96.0,90.0,96.0,76.0,95.0,57.0,76.0,54.0,66.0,51.0,70.0,76.0
363.0,386.0,432.0,306.0,1318.0,437.0,490.0,613.0,254.0,172.0,665.0,210.0,1217.0,570.0,682.0,501.0,448.0,770.0,225.0,336.0,622.0,737.0,298.0,623.0,324.0,1026.0,666.0,651.0,286.0,340.0,476.0,592.0,891.0,234.0,875.0,422.0,663.0,1002.0,639.0,183.0,1075.0,414.0,577.0,616.0,397.0,472.0,492.0,202.0,703.0,971.0,281.0,236.0,762.0,298.0,697.0,778.0,218.0,685.0,421.0,365.0,860.0,89.0,278.0,286.0,741.0,647.0,747.0,246.0,263.0,285.0,760.0,999.0,267.0,1152.0,317.0,202.0,355.0,1016.0,144.0,296.0,244.0,403.0,1291.0,156.0,171.0,568.0,582.0,109.0,233.0,193.0,52.0,183.0,123.0,98.0,214.0,157.0,283.0,80.0,193.0,231.0,58.0,81.0,71.0,134.0,101.0,59.0,103.0,92.0,105.0,58.0,104.0,54.0,72.0,46.0,81.0,51.0,59.0,74.0,73.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461.0,100.0,218.0,207.0,261.0,288.0,553.0,113.0,404.0,253.0,92.0,522.0,353.0,680.0,121.0,549.0,198.0,337.0,536.0,471.0,876.0,183.0,120.0,796.0,232.0,965.0,235.0,562.0,160.0,265.0,572.0,283.0,503.0,176.0,1047.0,114.0,769.0,438.0,198.0,489.0,295.0,335.0,290.0,840.0,673.0,201.0,1347.0,472.0,877.0,822.0,286.0,646.0,804.0,218.0,493.0,617.0,1795.0,445.0,556.0,588.0,1246.0,633.0,822.0,1247.0,778.0,1166.0,720.0,496.0,382.0,511.0,1167.0,264.0,891.0,251.0,853.0,308.0,786.0,540.0,281.0,369.0,405.0,604.0,206.0,158.0,471.0,136.0,93.0,162.0,205.0,111.0,131.0,170.0,491.0,516.0,82.0,398.0,61.0,500.0,52.0,375.0,103.0,285.0,32.0,182.0,180.0,120.0,263.0,85.0,74.0,122.0,49.0,95.0,50.0,61.0,70.0,104.0,66.0,73.0,65.0,85.0,95.0,61.0,86.0,72.0,88.0,73.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629.0,70.0,289.0,298.0,163.0,171.0,135.0,511.0,175.0,594.0,200.0,281.0,279.0,724.0,178.0,91.0,618.0,239.0,331.0,298.0,598.0,601.0,714.0,436.0,211.0,239.0,1019.0,56.0,542.0,165.0,637.0,983.0,911.0,426.0,527.0,698.0,325.0,848.0,1055.0,387.0,556.0,275.0,420.0,559.0,405.0,783.0,349.0,549.0,483.0,517.0,638.0,290.0,384.0,230.0,142.0,453.0,578.0,422.0,334.0,403.0,691.0,123.0,471.0,483.0,546.0,426.0,294.0,603.0,276.0,315.0,537.0,316.0,664.0,207.0,928.0,143.0,610.0,115.0,411.0,564.0,966.0,316.0,435.0,175.0,67.0,259.0,97.0,47.0,301.0,45.0,215.0,153.0,220.0,237.0,271.0,164.0,87.0,87.0,101.0,76.0,43.0,75.0,72.0,66.0,87.0,62.0,86.0,98.0,122.0,338.0,69.0,62.0,119.0,69.0,73.0,51.0,67.0,62.0,76.0,85.0,75.0,86.0,55.0,103.0,64.0,84.0,71.0,112.0,61.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.0,110.0,144.0,152.0,290.0,244.0,337.0,783.0,797.0,141.0,577.0,456.0,357.0,526.0,250.0,239.0,537.0,449.0,807.0,286.0,306.0,342.0,443.0,543.0,279.0,505.0,93.0,467.0,95.0,1032.0,344.0,512.0,205.0,719.0,379.0,703.0,302.0,356.0,358.0,305.0,213.0,359.0,414.0,677.0,362.0,194.0,1059.0,577.0,1000.0,654.0,441.0,1398.0,513.0,257.0,646.0,1788.0,317.0,406.0,387.0,711.0,319.0,1483.0,684.0,905.0,366.0,247.0,520.0,699.0,698.0,659.0,146.0,627.0,402.0,688.0,159.0,270.0,606.0,623.0,102.0,384.0,1211.0,88.0,675.0,466.0,333.0,703.0,459.0,792.0,425.0,267.0,524.0,307.0,350.0,291.0,142.0,482.0,107.0,243.0,67.0,111.0,432.0,61.0,49.0,75.0,62.0,75.0,151.0,190.0,167.0,111.0,132.0,85.0,66.0,107.0,76.0,93.0,52.0,70.0,64.0,70.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.0,327.0,135.0,216.0,248.0,278.0,133.0,313.0,147.0,167.0,281.0,1512.0,99.0,546.0,233.0,212.0,310.0,195.0,225.0,270.0,473.0,144.0,192.0,716.0,304.0,1065.0,1093.0,186.0,332.0,502.0,401.0,316.0,331.0,437.0,1408.0,386.0,418.0,321.0,301.0,475.0,137.0,569.0,483.0,265.0,835.0,310.0,434.0,686.0,446.0,386.0,1511.0,246.0,435.0,449.0,642.0,167.0,1027.0,247.0,717.0,1031.0,520.0,744.0,787.0,754.0,211.0,359.0,1374.0,292.0,382.0,754.0,597.0,353.0,354.0,552.0,361.0,385.0,188.0,311.0,474.0,57.0,1115.0,616.0,80.0,96.0,74.0,66.0,131.0,73.0,66.0,87.0,241.0,45.0,289.0,61.0,157.0,180.0,89.0,84.0,79.0,71.0,48.0,68.0,71.0,81.0,80.0,77.0,89.0,87.0,111.0,66.0,127.0,77.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275.0,77.0,600.0,329.0,481.0,243.0,771.0,332.0,714.0,675.0,512.0,101.0,642.0,929.0,307.0,573.0,99.0,824.0,441.0,492.0,209.0,1145.0,305.0,279.0,448.0,1102.0,349.0,930.0,135.0,688.0,218.0,419.0,657.0,306.0,559.0,437.0,737.0,311.0,408.0,537.0,758.0,642.0,590.0,600.0,274.0,701.0,286.0,1088.0,687.0,806.0,1171.0,643.0,633.0,578.0,745.0,1309.0,97.0,628.0,370.0,270.0,1124.0,365.0,1457.0,240.0,689.0,1089.0,443.0,536.0,899.0,1527.0,798.0,524.0,706.0,976.0,1195.0,875.0,752.0,772.0,604.0,406.0,457.0,510.0,491.0,355.0,107.0,164.0,137.0,47.0,399.0,343.0,371.0,269.0,101.0,107.0,132.0,49.0,125.0,95.0,95.0,51.0,60.0,61.0,87.0,77.0,59.0,100.0,63.0,137.0,92.0,107.0,70.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
