0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
378.0,243.0,314.0,501.0,338.0,313.0,776.0,778.0,265.0,691.0,740.0,1831.0,297.0,510.0,802.0,264.0,333.0,907.0,1476.0,205.0,753.0,294.0,2042.0,644.0,267.0,220.0,1094.0,311.0,1798.0,360.0,1102.0,435.0,735.0,845.0,640.0,1216.0,685.0,402.0,722.0,1294.0,1110.0,337.0,988.0,298.0,1835.0,852.0,606.0,589.0,395.0,1887.0,760.0,898.0,614.0,856.0,724.0,577.0,449.0,901.0,541.0,472.0,1373.0,550.0,793.0,888.0,778.0,949.0,492.0,1788.0,1068.0,296.0,309.0,981.0,922.0,310.0,727.0,168.0,1120.0,524.0,188.0,64.0,195.0,129.0,81.0,440.0,144.0,303.0,247.0,316.0,134.0,127.0,185.0,226.0,112.0,79.0,67.0,98.0,133.0,100.0,67.0,107.0,290.0,158.0,197.0,95.0,87.0,100.0,60.0,75.0,87.0,108.0,80.0,99.0,63.0,88.0,107.0,43.0,71.0,49.0,88.0,58.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479.0,215.0,182.0,425.0,354.0,393.0,408.0,154.0,824.0,399.0,459.0,685.0,723.0,367.0,351.0,704.0,786.0,665.0,764.0,177.0,1357.0,413.0,405.0,628.0,1778.0,444.0,855.0,219.0,1252.0,308.0,942.0,761.0,322.0,1380.0,305.0,918.0,555.0,545.0,530.0,505.0,1277.0,356.0,659.0,805.0,1246.0,493.0,1027.0,367.0,1343.0,619.0,1245.0,603.0,614.0,727.0,1211.0,657.0,457.0,590.0,1363.0,385.0,664.0,1023.0,1502.0,576.0,468.0,727.0,1238.0,526.0,798.0,512.0,438.0,568.0,1182.0,1022.0,323.0,818.0,658.0,417.0,874.0,1448.0,408.0,581.0,450.0,1329.0,446.0,559.0,346.0,92.0,155.0,187.0,702.0,79.0,116.0,148.0,556.0,614.0,432.0,129.0,159.0,45.0,193.0,202.0,116.0,422.0,319.0,182.0,273.0,80.0,190.0,198.0,178.0,384.0,73.0,75.0,72.0,82.0,71.0,157.0,92.0,84.0,71.0,107.0,72.0,57.0,85.0,127.0,53.0,65.0,51.0,88.0,99.0,76.0,0.0,0.0,0.0,0.0,0.0
382.0,341.0,170.0,789.0,609.0,279.0,733.0,832.0,700.0,88.0,967.0,275.0,578.0,593.0,427.0,790.0,433.0,953.0,455.0,285.0,973.0,634.0,1838.0,461.0,602.0,1339.0,554.0,1682.0,656.0,494.0,1533.0,1447.0,614.0,597.0,1078.0,743.0,1030.0,836.0,469.0,149.0,896.0,583.0,911.0,363.0,100.0,1119.0,692.0,1093.0,403.0,1059.0,1114.0,614.0,1314.0,430.0,850.0,643.0,433.0,1009.0,1601.0,1439.0,247.0,1454.0,790.0,1235.0,130.0,1096.0,837.0,975.0,597.0,976.0,1283.0,454.0,395.0,768.0,660.0,716.0,582.0,371.0,1105.0,1230.0,689.0,1207.0,1029.0,821.0,548.0,577.0,209.0,1633.0,388.0,383.0,309.0,237.0,289.0,107.0,74.0,80.0,88.0,170.0,56.0,148.0,120.0,403.0,87.0,74.0,104.0,69.0,46.0,118.0,69.0,79.0,68.0,58.0,97.0,69.0,73.0,65.0,64.0,62.0,61.0,62.0,72.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496.0,147.0,235.0,503.0,347.0,181.0,1252.0,592.0,329.0,828.0,616.0,797.0,1652.0,362.0,507.0,872.0,222.0,960.0,313.0,1143.0,1558.0,731.0,462.0,652.0,765.0,717.0,1540.0,716.0,1046.0,382.0,871.0,729.0,1051.0,593.0,606.0,610.0,450.0,402.0,446.0,1307.0,422.0,767.0,769.0,844.0,765.0,795.0,794.0,703.0,641.0,174.0,668.0,306.0,816.0,880.0,707.0,1131.0,579.0,695.0,240.0,707.0,644.0,656.0,544.0,1226.0,501.0,324.0,541.0,604.0,911.0,1418.0,514.0,504.0,662.0,373.0,773.0,446.0,1099.0,517.0,376.0,474.0,606.0,301.0,492.0,749.0,349.0,599.0,168.0,727.0,487.0,794.0,254.0,71.0,103.0,71.0,67.0,54.0,69.0,136.0,484.0,41.0,682.0,121.0,403.0,122.0,55.0,114.0,54.0,94.0,129.0,98.0,201.0,201.0,93.0,304.0,121.0,125.0,106.0,77.0,120.0,66.0,72.0,42.0,133.0,79.0,87.0,80.0,52.0,80.0,105.0,68.0,61.0,64.0,56.0,63.0,0.0,0.0,0.0
267.0,752.0,191.0,306.0,755.0,1319.0,161.0,1224.0,239.0,1031.0,305.0,307.0,1003.0,246.0,860.0,1444.0,175.0,1090.0,678.0,230.0,741.0,426.0,1078.0,1193.0,282.0,469.0,1394.0,838.0,762.0,714.0,437.0,1584.0,283.0,1226.0,721.0,580.0,423.0,562.0,386.0,601.0,895.0,427.0,1482.0,242.0,1116.0,899.0,580.0,1063.0,1080.0,530.0,1306.0,389.0,1256.0,411.0,1163.0,467.0,858.0,532.0,1151.0,491.0,685.0,1388.0,772.0,1752.0,539.0,1338.0,347.0,503.0,1335.0,890.0,1186.0,590.0,840.0,719.0,896.0,1481.0,466.0,1292.0,553.0,786.0,756.0,868.0,467.0,1226.0,903.0,785.0,534.0,1862.0,1077.0,474.0,229.0,127.0,287.0,383.0,86.0,66.0,104.0,208.0,324.0,100.0,232.0,49.0,178.0,188.0,107.0,104.0,184.0,154.0,73.0,72.0,93.0,71.0,58.0,128.0,56.0,90.0,129.0,68.0,59.0,68.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787.0,128.0,181.0,832.0,169.0,273.0,1413.0,741.0,323.0,1033.0,559.0,533.0,1565.0,741.0,455.0,294.0,494.0,578.0,1622.0,460.0,275.0,845.0,696.0,680.0,320.0,838.0,698.0,820.0,262.0,970.0,1726.0,685.0,319.0,1084.0,1150.0,650.0,1500.0,764.0,1299.0,1164.0,636.0,980.0,353.0,910.0,743.0,978.0,820.0,898.0,1010.0,837.0,2626.0,755.0,1384.0,493.0,1840.0,612.0,1173.0,891.0,2173.0,567.0,612.0,945.0,336.0,808.0,405.0,1624.0,1027.0,436.0,1101.0,1026.0,1113.0,386.0,653.0,840.0,575.0,200.0,182.0,211.0,634.0,489.0,148.0,54.0,201.0,132.0,135.0,240.0,149.0,43.0,74.0,117.0,97.0,227.0,52.0,81.0,62.0,98.0,72.0,84.0,53.0,75.0,87.0,91.0,77.0,55.0,41.0,69.0,68.0,58.0,56.0,86.0,60.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712.0,67.0,533.0,442.0,334.0,605.0,1444.0,233.0,1153.0,644.0,559.0,823.0,606.0,1513.0,527.0,328.0,799.0,741.0,590.0,1085.0,682.0,601.0,680.0,605.0,286.0,759.0,1005.0,450.0,985.0,317.0,718.0,544.0,697.0,1919.0,650.0,1091.0,290.0,528.0,1008.0,713.0,994.0,544.0,985.0,462.0,2027.0,580.0,422.0,1216.0,762.0,583.0,1190.0,900.0,460.0,922.0,797.0,1027.0,812.0,600.0,653.0,1143.0,880.0,830.0,390.0,639.0,809.0,800.0,223.0,578.0,656.0,387.0,368.0,379.0,226.0,1187.0,247.0,672.0,261.0,66.0,216.0,175.0,91.0,85.0,68.0,43.0,160.0,42.0,237.0,214.0,53.0,72.0,98.0,60.0,66.0,66.0,48.0,62.0,69.0,86.0,68.0,69.0,53.0,78.0,53.0,81.0,70.0,72.0,53.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347.0,232.0,154.0,480.0,96.0,812.0,116.0,692.0,731.0,406.0,707.0,532.0,295.0,1350.0,118.0,1425.0,860.0,455.0,450.0,488.0,569.0,737.0,579.0,538.0,228.0,1381.0,173.0,899.0,567.0,1106.0,392.0,580.0,722.0,441.0,355.0,1162.0,886.0,653.0,711.0,596.0,1092.0,410.0,957.0,315.0,293.0,541.0,241.0,485.0,703.0,791.0,301.0,1029.0,647.0,406.0,1956.0,421.0,620.0,418.0,213.0,655.0,1287.0,819.0,340.0,847.0,492.0,1453.0,363.0,807.0,420.0,938.0,347.0,745.0,765.0,628.0,994.0,923.0,909.0,643.0,484.0,469.0,446.0,634.0,59.0,576.0,201.0,137.0,101.0,111.0,42.0,99.0,85.0,52.0,60.0,251.0,106.0,51.0,85.0,54.0,56.0,86.0,85.0,71.0,87.0,92.0,63.0,52.0,86.0,63.0,64.0,51.0,85.0,79.0,56.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736.0,236.0,426.0,935.0,405.0,199.0,534.0,624.0,338.0,703.0,602.0,417.0,648.0,233.0,274.0,439.0,510.0,582.0,711.0,231.0,570.0,1165.0,287.0,720.0,568.0,375.0,719.0,1123.0,471.0,525.0,587.0,1043.0,1516.0,1092.0,554.0,807.0,327.0,519.0,756.0,424.0,1235.0,1034.0,910.0,812.0,773.0,596.0,1514.0,1522.0,214.0,2094.0,347.0,918.0,538.0,1525.0,582.0,365.0,669.0,282.0,1098.0,465.0,727.0,793.0,177.0,685.0,1272.0,284.0,952.0,490.0,953.0,680.0,469.0,600.0,654.0,384.0,372.0,1062.0,705.0,373.0,596.0,188.0,104.0,92.0,183.0,74.0,356.0,178.0,67.0,28.0,166.0,170.0,354.0,85.0,88.0,100.0,88.0,31.0,108.0,75.0,109.0,43.0,88.0,58.0,91.0,63.0,68.0,57.0,61.0,55.0,74.0,103.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521.0,402.0,420.0,368.0,555.0,291.0,718.0,682.0,659.0,758.0,1147.0,385.0,1029.0,426.0,1009.0,1388.0,728.0,422.0,433.0,719.0,1584.0,174.0,1763.0,969.0,942.0,855.0,446.0,1133.0,650.0,389.0,1576.0,341.0,919.0,573.0,1466.0,1914.0,2024.0,559.0,1186.0,777.0,1639.0,280.0,1948.0,874.0,592.0,2052.0,254.0,3377.0,514.0,935.0,1435.0,1887.0,537.0,1002.0,536.0,1128.0,329.0,797.0,1042.0,384.0,1042.0,1203.0,1584.0,764.0,1148.0,857.0,906.0,727.0,1036.0,762.0,274.0,1328.0,606.0,546.0,1542.0,765.0,489.0,966.0,1498.0,911.0,410.0,79.0,83.0,87.0,149.0,187.0,462.0,39.0,121.0,263.0,57.0,381.0,123.0,52.0,300.0,108.0,118.0,95.0,117.0,77.0,92.0,87.0,146.0,103.0,68.0,75.0,77.0,62.0,87.0,95.0,118.0,79.0,60.0,70.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
