0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
633.0,344.0,692.0,497.0,675.0,1138.0,366.0,454.0,361.0,1283.0,1495.0,459.0,1630.0,1629.0,1404.0,3660.0,483.0,843.0,3745.0,69.0,2118.0,492.0,2448.0,1422.0,1564.0,3277.0,101.0,1706.0,1255.0,911.0,3166.0,256.0,4609.0,616.0,2336.0,708.0,1873.0,241.0,1036.0,3460.0,1308.0,663.0,805.0,1580.0,2169.0,536.0,862.0,722.0,3192.0,2623.0,1161.0,758.0,2821.0,1098.0,1871.0,1146.0,3725.0,1020.0,772.0,1352.0,2674.0,3563.0,457.0,1186.0,868.0,2210.0,31.0,1757.0,1555.0,1230.0,5571.0,250.0,3044.0,1910.0,1018.0,2013.0,984.0,1378.0,1951.0,684.0,1976.0,1525.0,2234.0,1216.0,207.0,1563.0,643.0,222.0,188.0,57.0,149.0,193.0,424.0,14.0,68.0,28.0,44.0,83.0,47.0,73.0,42.0,68.0,85.0,54.0,42.0,70.0,62.0,88.0,44.0,77.0,36.0,53.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1272.0,552.0,342.0,1319.0,567.0,152.0,639.0,1656.0,398.0,476.0,1529.0,1884.0,174.0,1249.0,107.0,2469.0,1649.0,627.0,2734.0,506.0,1526.0,266.0,1785.0,2615.0,482.0,485.0,1825.0,86.0,2077.0,1281.0,331.0,2582.0,773.0,1288.0,947.0,1909.0,1642.0,1453.0,315.0,1715.0,1051.0,2565.0,1432.0,2586.0,2513.0,395.0,1110.0,1046.0,3893.0,1995.0,639.0,2746.0,913.0,3332.0,493.0,4558.0,2787.0,826.0,1584.0,1439.0,1077.0,2711.0,2456.0,438.0,3524.0,2687.0,447.0,1168.0,1569.0,1563.0,1692.0,1585.0,2972.0,747.0,949.0,865.0,1243.0,1683.0,3550.0,580.0,1766.0,1575.0,1388.0,1603.0,499.0,1493.0,2904.0,1909.0,1169.0,549.0,276.0,154.0,81.0,59.0,121.0,118.0,49.0,58.0,75.0,101.0,205.0,102.0,63.0,64.0,50.0,51.0,52.0,38.0,52.0,60.0,101.0,74.0,129.0,42.0,116.0,43.0,52.0,81.0,27.0,51.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
853.0,253.0,949.0,243.0,1139.0,119.0,2290.0,640.0,2176.0,1096.0,840.0,1352.0,4754.0,68.0,2511.0,837.0,286.0,1601.0,4146.0,56.0,549.0,2688.0,790.0,716.0,528.0,531.0,2117.0,2141.0,865.0,1352.0,1018.0,142.0,739.0,2162.0,148.0,4824.0,2510.0,1716.0,1084.0,746.0,2003.0,743.0,2342.0,42.0,3468.0,654.0,1677.0,2125.0,63.0,3393.0,2010.0,1254.0,1396.0,1426.0,3626.0,3714.0,177.0,1497.0,1321.0,3910.0,787.0,3798.0,1242.0,1982.0,3319.0,849.0,2730.0,564.0,3267.0,1287.0,4190.0,4076.0,1418.0,4910.0,2465.0,2624.0,1162.0,71.0,2682.0,1354.0,2801.0,3709.0,489.0,2367.0,562.0,3836.0,1812.0,389.0,1535.0,1979.0,475.0,1941.0,338.0,861.0,119.0,134.0,271.0,46.0,55.0,56.0,105.0,555.0,34.0,44.0,38.0,105.0,46.0,128.0,38.0,69.0,46.0,68.0,41.0,25.0,56.0,34.0,98.0,45.0,63.0,83.0,92.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101.0,645.0,234.0,1372.0,105.0,2702.0,228.0,2242.0,66.0,3866.0,1502.0,1420.0,2044.0,615.0,2569.0,2160.0,529.0,3268.0,473.0,2884.0,493.0,2263.0,88.0,948.0,2371.0,2786.0,324.0,2140.0,2019.0,1351.0,1809.0,2697.0,1132.0,2253.0,571.0,2747.0,637.0,1441.0,2113.0,652.0,624.0,2701.0,2707.0,1173.0,2094.0,949.0,1183.0,514.0,3351.0,3984.0,1605.0,949.0,2055.0,627.0,1700.0,190.0,3640.0,1541.0,500.0,1498.0,767.0,568.0,920.0,88.0,1310.0,3805.0,854.0,1698.0,1139.0,489.0,2145.0,523.0,884.0,885.0,2200.0,1197.0,487.0,256.0,167.0,91.0,35.0,71.0,97.0,50.0,89.0,45.0,66.0,40.0,83.0,33.0,43.0,70.0,87.0,45.0,43.0,41.0,42.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633.0,32.0,885.0,399.0,806.0,109.0,1936.0,463.0,870.0,374.0,574.0,3278.0,148.0,735.0,1309.0,52.0,1165.0,1268.0,1294.0,994.0,326.0,449.0,1438.0,239.0,1325.0,1772.0,386.0,1914.0,859.0,1842.0,870.0,2392.0,3580.0,561.0,1005.0,1469.0,1290.0,1431.0,419.0,1236.0,4152.0,2663.0,1119.0,1909.0,669.0,838.0,909.0,4139.0,262.0,1631.0,872.0,1868.0,600.0,1360.0,1722.0,508.0,1737.0,419.0,1215.0,3439.0,135.0,2104.0,580.0,488.0,1415.0,1577.0,971.0,1737.0,2158.0,461.0,2265.0,356.0,1743.0,1127.0,1201.0,892.0,2182.0,818.0,3125.0,2165.0,857.0,2594.0,2078.0,713.0,618.0,1143.0,1180.0,540.0,724.0,3361.0,1252.0,770.0,1506.0,1174.0,1497.0,439.0,769.0,286.0,1224.0,1884.0,772.0,128.0,548.0,96.0,77.0,61.0,142.0,57.0,125.0,79.0,71.0,68.0,220.0,87.0,39.0,67.0,93.0,83.0,45.0,76.0,31.0,62.0,98.0,69.0,49.0,31.0,54.0,35.0,93.0,78.0,61.0,52.0,89.0,0.0,0.0
1187.0,83.0,892.0,735.0,329.0,1940.0,10.0,1988.0,427.0,941.0,1588.0,1186.0,716.0,3583.0,16.0,5299.0,876.0,2451.0,2247.0,2532.0,1834.0,768.0,1743.0,374.0,931.0,439.0,1790.0,779.0,1938.0,3021.0,1115.0,2281.0,261.0,2971.0,1581.0,1996.0,874.0,136.0,989.0,3318.0,1257.0,390.0,1619.0,1259.0,2351.0,1309.0,2947.0,452.0,2610.0,1158.0,1016.0,2970.0,2779.0,1147.0,1623.0,597.0,4465.0,1347.0,2240.0,1338.0,861.0,2468.0,405.0,2423.0,2352.0,1076.0,5109.0,112.0,5284.0,2863.0,2168.0,1788.0,5306.0,2929.0,1596.0,2902.0,220.0,1713.0,1845.0,1863.0,1439.0,601.0,249.0,233.0,457.0,132.0,74.0,65.0,49.0,30.0,89.0,28.0,49.0,74.0,55.0,61.0,53.0,73.0,45.0,72.0,53.0,71.0,35.0,64.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
797.0,180.0,382.0,985.0,676.0,1684.0,43.0,3696.0,2653.0,220.0,3990.0,420.0,1810.0,2035.0,188.0,5733.0,149.0,3041.0,1209.0,413.0,929.0,2281.0,3269.0,511.0,1422.0,3074.0,4717.0,565.0,1076.0,1995.0,1365.0,923.0,3635.0,1858.0,2173.0,2298.0,1343.0,1001.0,2000.0,2080.0,2012.0,1367.0,1522.0,736.0,1940.0,986.0,2293.0,1494.0,2464.0,551.0,4018.0,2109.0,598.0,3146.0,1800.0,1899.0,1871.0,2699.0,2954.0,1215.0,3266.0,74.0,4279.0,1741.0,2930.0,2619.0,1122.0,1288.0,2892.0,3133.0,1420.0,1517.0,2298.0,5817.0,250.0,1428.0,1106.0,4855.0,1831.0,1162.0,301.0,672.0,117.0,135.0,95.0,123.0,97.0,121.0,341.0,72.0,123.0,61.0,78.0,48.0,104.0,75.0,59.0,45.0,46.0,80.0,72.0,76.0,65.0,45.0,46.0,69.0,61.0,73.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795.0,183.0,544.0,839.0,175.0,520.0,146.0,1483.0,679.0,1016.0,225.0,3911.0,448.0,4787.0,417.0,2460.0,201.0,1058.0,785.0,1283.0,797.0,3435.0,708.0,991.0,864.0,999.0,862.0,1232.0,1835.0,472.0,1410.0,666.0,4256.0,1536.0,527.0,1749.0,2557.0,840.0,3754.0,856.0,1803.0,378.0,1183.0,2203.0,1496.0,2688.0,812.0,1812.0,2299.0,1102.0,2684.0,2581.0,2495.0,1287.0,1364.0,2808.0,2312.0,2481.0,2310.0,3157.0,1289.0,2706.0,1836.0,2094.0,1209.0,1264.0,3087.0,1401.0,2392.0,728.0,4581.0,368.0,3636.0,810.0,1266.0,1849.0,306.0,807.0,1336.0,766.0,359.0,1098.0,195.0,81.0,62.0,68.0,145.0,30.0,135.0,124.0,96.0,61.0,130.0,48.0,46.0,67.0,58.0,49.0,42.0,84.0,73.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396.0,112.0,292.0,1074.0,89.0,725.0,3371.0,152.0,3488.0,387.0,2519.0,1091.0,2002.0,1108.0,500.0,2852.0,428.0,785.0,1714.0,948.0,557.0,425.0,2167.0,2443.0,733.0,717.0,916.0,154.0,1748.0,2346.0,286.0,1810.0,2067.0,2014.0,828.0,1588.0,900.0,2365.0,2086.0,1432.0,3735.0,4788.0,3897.0,1079.0,372.0,2096.0,481.0,4177.0,473.0,3242.0,837.0,2734.0,2315.0,500.0,1689.0,1489.0,2310.0,1024.0,1943.0,2462.0,1246.0,1335.0,3182.0,3038.0,2023.0,1793.0,818.0,1695.0,1657.0,658.0,3270.0,1336.0,820.0,1925.0,590.0,799.0,1205.0,379.0,769.0,56.0,1345.0,340.0,264.0,62.0,36.0,145.0,107.0,100.0,76.0,311.0,190.0,50.0,315.0,265.0,89.0,42.0,63.0,68.0,29.0,396.0,106.0,67.0,173.0,146.0,51.0,109.0,54.0,98.0,50.0,108.0,61.0,112.0,219.0,94.0,40.0,93.0,51.0,91.0,56.0,48.0,97.0,23.0,128.0,40.0,39.0,85.0,50.0,37.0,62.0,87.0,48.0,113.0,72.0,0.0,0.0
311.0,50.0,256.0,1524.0,85.0,2693.0,67.0,2575.0,379.0,1166.0,895.0,1682.0,606.0,3495.0,872.0,1860.0,878.0,1535.0,57.0,435.0,1028.0,436.0,1112.0,2087.0,2014.0,1133.0,1434.0,1570.0,2349.0,330.0,702.0,2259.0,3251.0,1951.0,1882.0,4395.0,120.0,2189.0,578.0,1309.0,1456.0,334.0,1007.0,534.0,1096.0,220.0,1566.0,1124.0,1996.0,351.0,5012.0,1320.0,1945.0,2280.0,2010.0,1493.0,2904.0,1120.0,2531.0,1793.0,1659.0,2358.0,1317.0,1583.0,4126.0,2612.0,1602.0,923.0,3948.0,2415.0,1099.0,1578.0,2731.0,393.0,2546.0,3066.0,910.0,1864.0,1623.0,2507.0,2352.0,1583.0,4326.0,1483.0,476.0,240.0,1838.0,642.0,882.0,524.0,263.0,291.0,165.0,323.0,121.0,69.0,356.0,74.0,234.0,121.0,15.0,349.0,265.0,174.0,262.0,294.0,125.0,293.0,256.0,80.0,67.0,141.0,62.0,38.0,39.0,103.0,107.0,80.0,40.0,69.0,50.0,37.0,35.0,39.0,42.0,66.0,69.0,47.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
