0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
410.0,61.0,27.0,755.0,72.0,511.0,384.0,139.0,1501.0,805.0,485.0,796.0,1156.0,582.0,881.0,246.0,1492.0,112.0,637.0,205.0,897.0,343.0,1441.0,446.0,270.0,505.0,238.0,1368.0,125.0,984.0,227.0,1095.0,1013.0,791.0,156.0,364.0,518.0,1151.0,2336.0,463.0,2287.0,1208.0,2047.0,668.0,1786.0,459.0,1702.0,1160.0,1243.0,1122.0,1295.0,1045.0,647.0,676.0,1312.0,410.0,1408.0,782.0,1411.0,849.0,1151.0,1795.0,1345.0,1135.0,465.0,635.0,454.0,669.0,876.0,1181.0,741.0,750.0,301.0,148.0,155.0,819.0,253.0,124.0,357.0,66.0,155.0,30.0,222.0,121.0,193.0,76.0,65.0,53.0,104.0,65.0,89.0,47.0,75.0,116.0,23.0,76.0,52.0,77.0,30.0,97.0,62.0,69.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286.0,102.0,133.0,73.0,400.0,145.0,480.0,46.0,1139.0,308.0,79.0,744.0,303.0,369.0,240.0,1049.0,516.0,487.0,1721.0,286.0,898.0,1408.0,696.0,1123.0,230.0,182.0,1043.0,229.0,379.0,479.0,1088.0,1180.0,527.0,1505.0,333.0,233.0,664.0,1144.0,266.0,952.0,714.0,195.0,673.0,825.0,1615.0,287.0,537.0,2275.0,307.0,693.0,1414.0,254.0,3748.0,298.0,1411.0,1211.0,232.0,625.0,2384.0,306.0,1671.0,440.0,290.0,1664.0,45.0,952.0,957.0,248.0,338.0,937.0,360.0,300.0,209.0,181.0,452.0,326.0,246.0,37.0,304.0,84.0,63.0,385.0,69.0,167.0,95.0,112.0,78.0,120.0,76.0,63.0,48.0,103.0,44.0,78.0,99.0,39.0,139.0,85.0,41.0,143.0,44.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417.0,143.0,220.0,59.0,54.0,276.0,120.0,313.0,51.0,1167.0,192.0,1080.0,106.0,731.0,182.0,185.0,656.0,375.0,1124.0,475.0,684.0,157.0,453.0,481.0,1071.0,1678.0,309.0,652.0,612.0,312.0,1204.0,200.0,1045.0,184.0,1517.0,258.0,705.0,624.0,175.0,937.0,1239.0,129.0,1296.0,304.0,782.0,1793.0,1338.0,584.0,716.0,2923.0,614.0,2445.0,1435.0,1499.0,277.0,818.0,779.0,1554.0,2824.0,1001.0,1181.0,944.0,1676.0,163.0,470.0,1173.0,739.0,204.0,1880.0,313.0,449.0,429.0,167.0,74.0,157.0,122.0,416.0,145.0,99.0,144.0,617.0,322.0,174.0,65.0,168.0,38.0,143.0,163.0,120.0,23.0,472.0,100.0,80.0,122.0,50.0,114.0,80.0,75.0,144.0,49.0,45.0,393.0,75.0,56.0,148.0,89.0,29.0,70.0,58.0,27.0,90.0,43.0,97.0,78.0,73.0,69.0,82.0,353.0,135.0,52.0,61.0,40.0,38.0,99.0,70.0,78.0,43.0,73.0,49.0,64.0,68.0,98.0,67.0,56.0,68.0,91.0,53.0,74.0
206.0,118.0,99.0,100.0,386.0,388.0,515.0,17.0,757.0,270.0,176.0,264.0,393.0,728.0,494.0,562.0,354.0,1123.0,807.0,452.0,567.0,445.0,430.0,634.0,1189.0,255.0,1345.0,539.0,260.0,1091.0,639.0,919.0,832.0,1060.0,512.0,972.0,866.0,511.0,345.0,1623.0,160.0,1366.0,1233.0,646.0,421.0,1376.0,242.0,768.0,1306.0,108.0,1812.0,736.0,1007.0,847.0,437.0,798.0,422.0,893.0,1267.0,734.0,1331.0,3177.0,822.0,618.0,579.0,1340.0,293.0,559.0,771.0,354.0,281.0,199.0,368.0,426.0,388.0,50.0,449.0,648.0,81.0,27.0,292.0,159.0,203.0,103.0,137.0,107.0,418.0,176.0,101.0,72.0,66.0,87.0,141.0,89.0,49.0,44.0,39.0,110.0,34.0,60.0,363.0,50.0,47.0,108.0,62.0,66.0,92.0,44.0,45.0,100.0,100.0,26.0,69.0,59.0,63.0,59.0,87.0,34.0,68.0,79.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299.0,56.0,87.0,252.0,443.0,55.0,340.0,391.0,106.0,470.0,96.0,355.0,277.0,163.0,763.0,87.0,872.0,494.0,1314.0,163.0,228.0,30.0,812.0,172.0,721.0,400.0,275.0,573.0,91.0,220.0,1489.0,96.0,1457.0,1082.0,771.0,510.0,831.0,422.0,816.0,533.0,418.0,880.0,1281.0,570.0,1057.0,461.0,779.0,251.0,2200.0,89.0,362.0,772.0,791.0,883.0,473.0,682.0,773.0,290.0,1128.0,315.0,689.0,790.0,275.0,983.0,480.0,1186.0,966.0,1135.0,424.0,103.0,599.0,216.0,1012.0,191.0,89.0,215.0,399.0,168.0,299.0,111.0,151.0,71.0,358.0,68.0,58.0,106.0,383.0,88.0,139.0,92.0,48.0,111.0,91.0,431.0,51.0,67.0,47.0,91.0,38.0,106.0,65.0,65.0,49.0,111.0,57.0,109.0,39.0,87.0,71.0,86.0,96.0,60.0,35.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205.0,64.0,167.0,18.0,107.0,138.0,193.0,32.0,308.0,93.0,1115.0,58.0,172.0,225.0,623.0,1108.0,866.0,343.0,594.0,800.0,93.0,252.0,1123.0,29.0,992.0,106.0,110.0,669.0,174.0,1245.0,909.0,1064.0,517.0,312.0,457.0,272.0,1112.0,216.0,1513.0,55.0,892.0,521.0,251.0,948.0,421.0,729.0,991.0,520.0,955.0,489.0,1045.0,253.0,616.0,945.0,461.0,1264.0,610.0,1072.0,494.0,1301.0,754.0,821.0,307.0,193.0,464.0,583.0,595.0,196.0,503.0,268.0,161.0,374.0,192.0,79.0,340.0,118.0,57.0,51.0,52.0,58.0,78.0,54.0,85.0,72.0,79.0,88.0,56.0,90.0,23.0,96.0,70.0,58.0,30.0,119.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,29.0,65.0,197.0,181.0,152.0,702.0,120.0,467.0,77.0,249.0,891.0,110.0,323.0,476.0,401.0,494.0,237.0,436.0,525.0,865.0,534.0,258.0,618.0,234.0,794.0,445.0,572.0,1263.0,840.0,267.0,856.0,357.0,212.0,1701.0,359.0,306.0,1289.0,649.0,139.0,711.0,698.0,44.0,672.0,939.0,638.0,410.0,476.0,462.0,992.0,213.0,426.0,687.0,1825.0,341.0,871.0,399.0,1145.0,809.0,1156.0,140.0,483.0,1406.0,635.0,559.0,361.0,1289.0,481.0,658.0,335.0,876.0,886.0,150.0,137.0,55.0,158.0,59.0,63.0,53.0,103.0,45.0,90.0,95.0,98.0,122.0,161.0,76.0,107.0,59.0,135.0,62.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427.0,60.0,322.0,105.0,225.0,63.0,245.0,228.0,58.0,631.0,23.0,747.0,141.0,802.0,910.0,252.0,35.0,1708.0,175.0,901.0,349.0,517.0,1060.0,121.0,2153.0,174.0,418.0,169.0,1272.0,1227.0,231.0,613.0,1384.0,214.0,680.0,388.0,872.0,289.0,1100.0,103.0,259.0,1157.0,605.0,1032.0,1140.0,618.0,1150.0,998.0,45.0,1090.0,1559.0,435.0,1470.0,303.0,1755.0,1115.0,489.0,971.0,463.0,2016.0,1582.0,345.0,1478.0,534.0,1886.0,650.0,235.0,1638.0,75.0,392.0,253.0,193.0,371.0,235.0,85.0,200.0,104.0,64.0,109.0,179.0,85.0,178.0,119.0,312.0,55.0,225.0,78.0,170.0,72.0,121.0,54.0,60.0,35.0,80.0,63.0,125.0,20.0,65.0,39.0,78.0,159.0,76.0,77.0,54.0,74.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.0,67.0,340.0,257.0,101.0,956.0,38.0,1039.0,500.0,182.0,861.0,126.0,181.0,271.0,503.0,467.0,718.0,549.0,1021.0,233.0,794.0,180.0,870.0,1406.0,290.0,1309.0,427.0,347.0,813.0,750.0,63.0,1720.0,417.0,1089.0,696.0,1356.0,588.0,753.0,693.0,2731.0,246.0,782.0,792.0,469.0,1221.0,901.0,1998.0,890.0,393.0,1208.0,849.0,687.0,927.0,1702.0,1389.0,218.0,577.0,2643.0,431.0,690.0,1655.0,1272.0,766.0,514.0,1520.0,773.0,1100.0,184.0,1130.0,494.0,659.0,325.0,282.0,174.0,89.0,226.0,24.0,95.0,34.0,67.0,462.0,164.0,139.0,112.0,30.0,235.0,80.0,65.0,128.0,113.0,40.0,63.0,46.0,118.0,64.0,117.0,54.0,65.0,77.0,63.0,73.0,44.0,39.0,89.0,32.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315.0,49.0,69.0,45.0,157.0,69.0,354.0,35.0,232.0,109.0,124.0,269.0,173.0,1117.0,83.0,1162.0,337.0,457.0,146.0,1223.0,913.0,430.0,387.0,1098.0,321.0,762.0,240.0,306.0,1016.0,1022.0,1021.0,803.0,1510.0,1070.0,1630.0,273.0,146.0,431.0,998.0,586.0,549.0,783.0,926.0,1743.0,458.0,1090.0,1030.0,850.0,1370.0,562.0,5422.0,374.0,1952.0,1009.0,1128.0,1145.0,423.0,2366.0,1347.0,448.0,1534.0,374.0,1475.0,1440.0,347.0,1396.0,1726.0,758.0,1700.0,436.0,478.0,2504.0,332.0,931.0,473.0,595.0,204.0,905.0,391.0,554.0,523.0,147.0,121.0,71.0,239.0,217.0,41.0,101.0,44.0,120.0,153.0,178.0,526.0,75.0,35.0,111.0,33.0,109.0,20.0,96.0,73.0,61.0,91.0,80.0,68.0,55.0,51.0,51.0,77.0,47.0,67.0,55.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
