0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
221.0,122.0,91.0,329.0,334.0,226.0,105.0,490.0,110.0,117.0,293.0,282.0,725.0,356.0,95.0,342.0,342.0,742.0,109.0,649.0,253.0,1070.0,615.0,85.0,1228.0,521.0,730.0,491.0,180.0,556.0,586.0,505.0,761.0,786.0,324.0,1228.0,622.0,747.0,402.0,1216.0,213.0,1177.0,429.0,1216.0,242.0,1112.0,530.0,1444.0,631.0,664.0,577.0,587.0,1096.0,889.0,152.0,186.0,2602.0,334.0,514.0,1259.0,142.0,1083.0,653.0,764.0,209.0,1100.0,120.0,305.0,268.0,523.0,52.0,48.0,21.0,204.0,242.0,165.0,46.0,153.0,57.0,171.0,31.0,468.0,122.0,108.0,44.0,346.0,87.0,48.0,50.0,131.0,263.0,58.0,77.0,108.0,53.0,83.0,107.0,60.0,97.0,97.0,80.0,84.0,35.0,57.0,74.0,55.0,60.0,58.0,75.0,54.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228.0,62.0,190.0,364.0,540.0,552.0,529.0,684.0,354.0,313.0,781.0,544.0,544.0,659.0,448.0,489.0,392.0,345.0,240.0,1053.0,372.0,1397.0,277.0,500.0,409.0,444.0,1635.0,283.0,513.0,449.0,1010.0,589.0,975.0,334.0,1467.0,782.0,316.0,808.0,937.0,956.0,168.0,732.0,262.0,552.0,184.0,1709.0,1468.0,666.0,538.0,698.0,433.0,666.0,1058.0,334.0,875.0,610.0,719.0,1005.0,1049.0,1187.0,100.0,311.0,438.0,813.0,381.0,168.0,116.0,148.0,179.0,99.0,161.0,63.0,69.0,351.0,204.0,45.0,258.0,189.0,35.0,103.0,84.0,92.0,80.0,58.0,36.0,44.0,44.0,24.0,336.0,118.0,44.0,66.0,84.0,49.0,50.0,75.0,177.0,53.0,78.0,44.0,73.0,47.0,43.0,69.0,39.0,124.0,51.0,63.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336.0,111.0,131.0,260.0,666.0,118.0,464.0,147.0,548.0,841.0,299.0,242.0,556.0,1150.0,179.0,680.0,427.0,652.0,969.0,465.0,273.0,567.0,1205.0,413.0,428.0,288.0,636.0,699.0,715.0,689.0,639.0,1525.0,501.0,372.0,637.0,247.0,875.0,955.0,516.0,709.0,219.0,1170.0,1005.0,1203.0,459.0,1237.0,372.0,629.0,769.0,1031.0,1672.0,970.0,668.0,920.0,1015.0,1047.0,425.0,1285.0,474.0,521.0,916.0,1511.0,205.0,651.0,560.0,419.0,157.0,342.0,58.0,222.0,429.0,26.0,211.0,125.0,117.0,52.0,315.0,54.0,241.0,73.0,119.0,137.0,90.0,93.0,63.0,58.0,47.0,44.0,61.0,120.0,32.0,53.0,43.0,61.0,62.0,98.0,56.0,50.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,204.0,211.0,59.0,133.0,119.0,236.0,265.0,119.0,794.0,395.0,928.0,136.0,509.0,614.0,202.0,1143.0,502.0,134.0,492.0,159.0,1173.0,204.0,1052.0,945.0,97.0,287.0,783.0,835.0,837.0,478.0,447.0,356.0,246.0,798.0,814.0,677.0,1174.0,678.0,446.0,347.0,1225.0,426.0,1081.0,787.0,212.0,1413.0,813.0,814.0,442.0,1743.0,1275.0,793.0,938.0,892.0,548.0,532.0,648.0,232.0,362.0,1033.0,214.0,824.0,977.0,425.0,2068.0,162.0,732.0,318.0,574.0,736.0,154.0,346.0,436.0,170.0,109.0,68.0,33.0,205.0,37.0,259.0,273.0,102.0,87.0,49.0,56.0,67.0,75.0,31.0,89.0,49.0,77.0,41.0,35.0,69.0,60.0,100.0,88.0,49.0,38.0,68.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257.0,94.0,92.0,147.0,95.0,583.0,285.0,1278.0,241.0,351.0,712.0,503.0,408.0,726.0,256.0,1047.0,361.0,253.0,650.0,162.0,1221.0,609.0,459.0,574.0,326.0,1108.0,185.0,466.0,285.0,1208.0,406.0,657.0,304.0,1022.0,469.0,785.0,859.0,1025.0,1033.0,551.0,493.0,957.0,795.0,768.0,290.0,1348.0,820.0,1752.0,655.0,845.0,1331.0,759.0,726.0,2076.0,762.0,447.0,1183.0,387.0,375.0,1147.0,941.0,666.0,1596.0,402.0,1322.0,793.0,1406.0,263.0,829.0,350.0,1355.0,712.0,791.0,60.0,1488.0,343.0,65.0,131.0,188.0,338.0,462.0,40.0,871.0,74.0,161.0,62.0,121.0,71.0,43.0,276.0,94.0,43.0,131.0,70.0,55.0,38.0,73.0,80.0,89.0,45.0,76.0,40.0,51.0,34.0,72.0,30.0,114.0,38.0,73.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,264.0,208.0,123.0,634.0,183.0,281.0,352.0,724.0,1106.0,347.0,453.0,653.0,654.0,174.0,497.0,363.0,785.0,1281.0,454.0,728.0,1228.0,420.0,715.0,579.0,478.0,550.0,834.0,158.0,531.0,551.0,482.0,701.0,481.0,77.0,1444.0,137.0,533.0,499.0,480.0,458.0,413.0,1065.0,855.0,380.0,625.0,830.0,1150.0,763.0,405.0,237.0,556.0,1297.0,451.0,1162.0,202.0,922.0,205.0,315.0,993.0,371.0,709.0,351.0,164.0,868.0,144.0,96.0,207.0,118.0,62.0,80.0,97.0,65.0,326.0,229.0,21.0,73.0,98.0,98.0,175.0,171.0,65.0,152.0,81.0,57.0,34.0,64.0,60.0,51.0,108.0,27.0,62.0,82.0,72.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255.0,27.0,258.0,103.0,147.0,130.0,184.0,476.0,178.0,103.0,197.0,439.0,576.0,201.0,583.0,640.0,438.0,202.0,169.0,281.0,334.0,362.0,480.0,341.0,825.0,821.0,282.0,622.0,329.0,579.0,365.0,516.0,233.0,270.0,441.0,966.0,837.0,478.0,469.0,530.0,431.0,178.0,731.0,564.0,785.0,383.0,571.0,420.0,449.0,346.0,711.0,527.0,413.0,1207.0,249.0,123.0,441.0,75.0,1169.0,156.0,247.0,419.0,466.0,161.0,518.0,265.0,486.0,323.0,756.0,245.0,460.0,369.0,291.0,127.0,261.0,513.0,423.0,64.0,91.0,92.0,91.0,92.0,87.0,44.0,89.0,456.0,55.0,68.0,211.0,41.0,126.0,38.0,46.0,62.0,49.0,71.0,66.0,152.0,66.0,56.0,54.0,87.0,61.0,93.0,61.0,83.0,31.0,28.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322.0,144.0,492.0,442.0,54.0,622.0,288.0,527.0,340.0,429.0,500.0,259.0,824.0,659.0,151.0,584.0,52.0,335.0,680.0,728.0,235.0,1581.0,591.0,396.0,608.0,568.0,499.0,510.0,398.0,808.0,111.0,1094.0,484.0,312.0,156.0,1226.0,194.0,814.0,709.0,405.0,559.0,257.0,462.0,274.0,667.0,656.0,146.0,182.0,434.0,363.0,535.0,642.0,432.0,1932.0,141.0,1103.0,475.0,688.0,735.0,1152.0,718.0,836.0,287.0,887.0,464.0,978.0,503.0,903.0,823.0,730.0,270.0,245.0,144.0,139.0,503.0,733.0,172.0,191.0,89.0,78.0,160.0,95.0,123.0,34.0,123.0,135.0,309.0,48.0,80.0,162.0,72.0,53.0,49.0,58.0,66.0,87.0,52.0,35.0,65.0,60.0,66.0,55.0,52.0,60.0,76.0,45.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292.0,67.0,217.0,188.0,404.0,519.0,258.0,398.0,372.0,135.0,441.0,600.0,485.0,172.0,379.0,747.0,316.0,414.0,588.0,282.0,357.0,279.0,463.0,717.0,475.0,425.0,646.0,1145.0,978.0,363.0,383.0,245.0,1145.0,512.0,1036.0,513.0,1039.0,517.0,821.0,646.0,490.0,1279.0,463.0,350.0,710.0,355.0,868.0,433.0,1265.0,585.0,245.0,157.0,755.0,689.0,545.0,174.0,259.0,685.0,360.0,292.0,267.0,167.0,125.0,105.0,154.0,102.0,172.0,57.0,106.0,80.0,515.0,84.0,74.0,71.0,60.0,73.0,83.0,119.0,61.0,26.0,99.0,95.0,204.0,171.0,43.0,488.0,763.0,51.0,48.0,72.0,41.0,94.0,34.0,101.0,31.0,78.0,54.0,359.0,91.0,39.0,70.0,35.0,53.0,58.0,72.0,88.0,44.0,51.0,106.0,22.0,79.0,33.0,44.0,77.0,43.0,92.0,46.0,76.0,0.0,0.0,0.0,0.0
390.0,68.0,139.0,304.0,127.0,283.0,517.0,104.0,377.0,502.0,228.0,503.0,296.0,286.0,637.0,1082.0,359.0,276.0,579.0,718.0,1404.0,410.0,512.0,156.0,472.0,609.0,641.0,839.0,412.0,642.0,269.0,1333.0,799.0,1402.0,108.0,654.0,223.0,807.0,776.0,302.0,387.0,679.0,818.0,428.0,672.0,250.0,943.0,375.0,209.0,421.0,262.0,1239.0,477.0,855.0,588.0,2126.0,611.0,1021.0,524.0,509.0,593.0,642.0,291.0,231.0,769.0,476.0,1425.0,486.0,105.0,135.0,387.0,194.0,125.0,146.0,126.0,220.0,189.0,90.0,79.0,139.0,601.0,121.0,61.0,1037.0,25.0,363.0,561.0,16.0,69.0,209.0,109.0,370.0,149.0,227.0,100.0,41.0,115.0,193.0,131.0,36.0,168.0,237.0,150.0,65.0,54.0,74.0,48.0,79.0,61.0,91.0,42.0,76.0,56.0,43.0,38.0,37.0,65.0,134.0,52.0,70.0,53.0,53.0
